date,tweet_count_[geral]_Bolsonaro,reply_mean_[geral]_Bolsonaro,retweet_mean_[geral]_Bolsonaro,favorite_mean_[geral]_Bolsonaro,nps_mean_[geral]_Bolsonaro,tweet_count_[ciência-e-tecnologia]_Bolsonaro,reply_mean_[ciência-e-tecnologia]_Bolsonaro,retweet_mean_[ciência-e-tecnologia]_Bolsonaro,favorite_mean_[ciência-e-tecnologia]_Bolsonaro,nps_mean_[ciência-e-tecnologia]_Bolsonaro,tweet_count_[saúde]_Bolsonaro,reply_mean_[saúde]_Bolsonaro,retweet_mean_[saúde]_Bolsonaro,favorite_mean_[saúde]_Bolsonaro,nps_mean_[saúde]_Bolsonaro,tweet_count_[eleições]_Bolsonaro,reply_mean_[eleições]_Bolsonaro,retweet_mean_[eleições]_Bolsonaro,favorite_mean_[eleições]_Bolsonaro,nps_mean_[eleições]_Bolsonaro,tweet_count_[segurança-e-direitos-humanos]_Bolsonaro,reply_mean_[segurança-e-direitos-humanos]_Bolsonaro,retweet_mean_[segurança-e-direitos-humanos]_Bolsonaro,favorite_mean_[segurança-e-direitos-humanos]_Bolsonaro,nps_mean_[segurança-e-direitos-humanos]_Bolsonaro,tweet_count_[costumes]_Bolsonaro,reply_mean_[costumes]_Bolsonaro,retweet_mean_[costumes]_Bolsonaro,favorite_mean_[costumes]_Bolsonaro,nps_mean_[costumes]_Bolsonaro,tweet_count_[economia]_Bolsonaro,reply_mean_[economia]_Bolsonaro,retweet_mean_[economia]_Bolsonaro,favorite_mean_[economia]_Bolsonaro,nps_mean_[economia]_Bolsonaro,tweet_count_[política-externa]_Bolsonaro,reply_mean_[política-externa]_Bolsonaro,retweet_mean_[política-externa]_Bolsonaro,favorite_mean_[política-externa]_Bolsonaro,nps_mean_[política-externa]_Bolsonaro,tweet_count_[meio-ambiente-e-agricultura]_Bolsonaro,reply_mean_[meio-ambiente-e-agricultura]_Bolsonaro,retweet_mean_[meio-ambiente-e-agricultura]_Bolsonaro,favorite_mean_[meio-ambiente-e-agricultura]_Bolsonaro,nps_mean_[meio-ambiente-e-agricultura]_Bolsonaro,tweet_count_[educação]_Bolsonaro,reply_mean_[educação]_Bolsonaro,retweet_mean_[educação]_Bolsonaro,favorite_mean_[educação]_Bolsonaro,nps_mean_[educação]_Bolsonaro,tweet_count_[outros]_Bolsonaro,reply_mean_[outros]_Bolsonaro,retweet_mean_[outros]_Bolsonaro,favorite_mean_[outros]_Bolsonaro,nps_mean_[outros]_Bolsonaro,tweet_count_[justiça]_Bolsonaro,reply_mean_[justiça]_Bolsonaro,retweet_mean_[justiça]_Bolsonaro,favorite_mean_[justiça]_Bolsonaro,nps_mean_[justiça]_Bolsonaro,tweet_count_[geral]_Lula,reply_mean_[geral]_Lula,retweet_mean_[geral]_Lula,favorite_mean_[geral]_Lula,nps_mean_[geral]_Lula,tweet_count_[ciência-e-tecnologia]_Lula,reply_mean_[ciência-e-tecnologia]_Lula,retweet_mean_[ciência-e-tecnologia]_Lula,favorite_mean_[ciência-e-tecnologia]_Lula,nps_mean_[ciência-e-tecnologia]_Lula,tweet_count_[saúde]_Lula,reply_mean_[saúde]_Lula,retweet_mean_[saúde]_Lula,favorite_mean_[saúde]_Lula,nps_mean_[saúde]_Lula,tweet_count_[eleições]_Lula,reply_mean_[eleições]_Lula,retweet_mean_[eleições]_Lula,favorite_mean_[eleições]_Lula,nps_mean_[eleições]_Lula,tweet_count_[segurança-e-direitos-humanos]_Lula,reply_mean_[segurança-e-direitos-humanos]_Lula,retweet_mean_[segurança-e-direitos-humanos]_Lula,favorite_mean_[segurança-e-direitos-humanos]_Lula,nps_mean_[segurança-e-direitos-humanos]_Lula,tweet_count_[costumes]_Lula,reply_mean_[costumes]_Lula,retweet_mean_[costumes]_Lula,favorite_mean_[costumes]_Lula,nps_mean_[costumes]_Lula,tweet_count_[economia]_Lula,reply_mean_[economia]_Lula,retweet_mean_[economia]_Lula,favorite_mean_[economia]_Lula,nps_mean_[economia]_Lula,tweet_count_[política-externa]_Lula,reply_mean_[política-externa]_Lula,retweet_mean_[política-externa]_Lula,favorite_mean_[política-externa]_Lula,nps_mean_[política-externa]_Lula,tweet_count_[meio-ambiente-e-agricultura]_Lula,reply_mean_[meio-ambiente-e-agricultura]_Lula,retweet_mean_[meio-ambiente-e-agricultura]_Lula,favorite_mean_[meio-ambiente-e-agricultura]_Lula,nps_mean_[meio-ambiente-e-agricultura]_Lula,tweet_count_[educação]_Lula,reply_mean_[educação]_Lula,retweet_mean_[educação]_Lula,favorite_mean_[educação]_Lula,nps_mean_[educação]_Lula,tweet_count_[outros]_Lula,reply_mean_[outros]_Lula,retweet_mean_[outros]_Lula,favorite_mean_[outros]_Lula,nps_mean_[outros]_Lula,tweet_count_[justiça]_Lula,reply_mean_[justiça]_Lula,retweet_mean_[justiça]_Lula,favorite_mean_[justiça]_Lula,nps_mean_[justiça]_Lula
2018-01-01,9.0,1885.5,3832.0,29013.0,59.72,9.0,4.0,3.0,5.0,9.0,9.0,145.0,744.0,4819.0,13.0,9.0,1.0,3.0,5.0,3.0,9.0,5.0,3.0,2.0,4.0,5.0,3.0,1.0,5.0,5.0,2.0,7.0,4.0,1.0,9.0,5.0,5.0,1.0,9.0,6.0,0.0,6.0,4.0,4.0,3.0,5.0,7.0,0.0,8.0,0.0,9.0,5.0,9.0,5.0,7.0,5.0,6.0,3.0,1.0,1.0,5.0,189.0,405.0,4505.0,21.0,4.0,3.0,2.0,6.0,6.0,7.0,8.0,6.0,9.0,8.0,1.0,7.0,5.0,7.0,6.0,3.0,3.0,2.0,1.0,0.0,4.0,6.0,8.0,3.0,2.0,2.0,3.0,5.0,2.0,6.0,4.0,3.0,4.0,1.0,8.0,1.0,0.0,7.0,5.0,0.0,7.0,0.0,3.0,6.0,0.0,4.0,4.0,5.0,3.0,2.0,5.0,0.0,0.0,2.0,7.0
2018-01-02,17.0,1243.0,3602.75,20439.75,61.05,4.0,93.0,557.0,2351.0,38.11,1.0,377.0,919.0,8437.0,47.64,9.0,6.0,8.0,2.0,9.0,8.0,4.0,6.0,3.0,6.0,6.0,8.0,9.0,3.0,5.0,7.0,5.0,7.0,9.0,7.0,2.0,6.0,5.0,9.0,7.0,3.0,3.0,0.0,3.0,0.0,8.0,6.0,3.0,5.0,0.0,5.0,7.0,5.0,2.0,8.0,4.0,5.0,0.0,7.0,6.0,4.0,195.0,477.0,3003.0,28.0,7.0,5.0,7.0,9.0,2.0,8.0,3.0,2.0,9.0,0.0,7.0,4.0,6.0,3.0,3.0,1.0,2.0,7.0,9.0,4.0,0.0,6.0,0.0,4.0,3.0,2.0,2.0,4.0,0.0,9.0,6.0,9.0,9.0,3.0,8.0,6.0,3.0,9.0,1.0,5.0,9.0,9.0,7.0,5.0,3.0,4.0,8.0,2.0,6.0,0.0,6.0,0.0,9.0,2.0,0.0
2018-01-03,16.0,1226.5,4000.0,29262.0,51.53,4.0,6.0,1.0,8.0,0.0,11.0,200.0,480.0,4606.0,10.0,5.0,6.0,5.0,8.0,4.0,4.0,0.0,8.0,0.0,7.0,0.0,8.0,5.0,2.0,4.0,0.0,6.0,8.0,6.0,1.0,8.0,3.0,3.0,9.0,5.0,2.0,7.0,1.0,1.0,5.0,4.0,7.0,1.0,6.0,1.0,0.0,6.0,5.0,7.0,5.0,0.0,6.0,7.0,5.0,3.0,4.0,252.0,500.0,4172.0,15.0,3.0,5.0,4.0,7.0,8.0,8.0,5.0,0.0,4.0,3.0,7.0,4.0,7.0,4.0,2.0,8.0,3.0,8.0,8.0,3.0,3.0,6.0,1.0,6.0,7.0,4.0,6.0,8.0,5.0,3.0,4.0,3.0,1.0,9.0,3.0,7.0,2.0,3.0,9.0,6.0,4.0,6.0,1.0,5.0,9.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,8.0
2018-01-04,15.0,982.2,4966.8,23339.2,65.75,0.0,3.0,9.0,6.0,1.0,1.0,73.0,934.0,5985.0,5.0,2.0,17.0,118.0,474.0,71.44,0.0,4.0,9.0,7.0,2.0,1.0,8.0,6.0,8.0,7.0,2.0,8.0,2.0,5.0,0.0,1.0,3.0,4.0,0.0,8.0,0.0,4.0,5.0,3.0,3.0,3.0,8.0,4.0,4.0,4.0,9.0,7.0,6.0,1.0,7.0,2.0,8.0,9.0,9.0,8.0,5.0,462.33,796.33,5748.33,32.14,5.0,7.0,0.0,4.0,0.0,2.0,5.0,8.0,9.0,1.0,0.0,5.0,8.0,8.0,3.0,3.0,6.0,7.0,5.0,4.0,8.0,3.0,4.0,5.0,4.0,4.0,7.0,1.0,3.0,6.0,1.0,5.0,4.0,8.0,7.0,9.0,2.0,9.0,6.0,9.0,4.0,2.0,6.0,0.0,0.0,6.0,4.0,6.0,2.0,6.0,2.0,7.0,9.0,6.0,4.0
2018-01-05,20.0,2022.33,4591.0,34543.33,58.52,9.0,3.0,5.0,1.0,9.0,8.0,2788.0,6695.0,24904.0,22.24,4.0,0.0,2.0,4.0,7.0,0.0,6.0,6.0,1.0,8.0,6.0,0.0,4.0,0.0,2.0,7.0,3.0,2.0,4.0,9.0,9.0,5.0,2.0,4.0,8.0,1.0,6.0,0.0,0.0,4.0,2.0,8.0,0.0,2.0,6.0,5.0,0.0,4.0,0.0,5.0,9.0,2.0,5.0,0.0,9.0,17.0,438.0,699.0,2059.0,14.0,3.0,9.0,8.0,1.0,4.0,1.0,7.0,3.0,5.0,8.0,1.0,8.0,9.0,2.0,6.0,1.0,2.0,0.0,0.0,3.0,9.0,0.0,5.0,8.0,5.0,5.0,1.0,5.0,2.0,5.0,1.0,7.0,7.0,9.0,7.0,8.0,2.0,6.0,8.0,4.0,3.0,9.0,2.0,1.0,0.0,3.0,5.0,7.0,8.0,0.0,1.0,3.0,8.0,9.0,1.0
2018-01-06,16.0,1886.6,4490.4,21885.0,64.78999999999999,1.0,7.0,8.0,6.0,0.0,2.0,370.0,2010.0,8179.0,38.96,4.0,6.0,2.0,2.0,2.0,9.0,279.0,1302.0,4535.0,25.27,3.0,5.0,0.0,9.0,5.0,6.0,7.0,9.0,3.0,8.0,5.0,8.0,1.0,6.0,2.0,3.0,9.0,3.0,4.0,9.0,0.0,3.0,0.0,5.0,5.0,0.0,5.0,0.0,8.0,1.0,7.0,8.0,3.0,3.0,1.0,16.0,229.0,649.0,3014.0,31.0,0.0,9.0,7.0,6.0,5.0,0.0,5.0,1.0,9.0,0.0,2.0,0.0,6.0,8.0,7.0,1.0,0.0,0.0,1.0,5.0,9.0,9.0,1.0,2.0,2.0,2.0,4.0,0.0,6.0,2.0,2.0,3.0,6.0,8.0,0.0,4.0,9.0,1.0,8.0,0.0,3.0,6.0,4.0,4.0,0.0,9.0,7.0,0.0,9.0,5.0,1.0,1.0,0.0,7.0,7.0
2018-01-07,16.0,1342.33,3196.67,21319.67,44.67,9.0,7.0,3.0,4.0,1.0,7.0,119.0,559.0,4691.0,20.0,9.0,4.0,8.0,8.0,0.0,3.0,4.0,7.0,1.0,9.0,0.0,8.0,3.0,1.0,1.0,6.0,9.0,9.0,5.0,8.0,7.0,5.0,7.0,3.0,1.0,9.0,2.0,1.0,3.0,8.0,2.0,0.0,6.0,5.0,6.0,5.0,3.0,8.0,7.0,6.0,6.0,8.0,4.0,0.0,2.0,4.0,352.0,890.0,3017.0,13.0,7.0,3.0,4.0,9.0,5.0,6.0,8.0,6.0,3.0,6.0,8.0,9.0,8.0,1.0,7.0,1.0,1.0,8.0,4.0,1.0,9.0,0.0,0.0,1.0,0.0,5.0,9.0,4.0,9.0,4.0,6.0,5.0,9.0,2.0,4.0,8.0,8.0,5.0,4.0,0.0,5.0,0.0,2.0,9.0,6.0,2.0,8.0,9.0,3.0,1.0,8.0,5.0,8.0,4.0,1.0
2018-01-08,13.0,1505.67,5454.83,27667.5,39.57,1.0,9.0,8.0,8.0,8.0,2.0,203.0,1154.0,6239.0,22.0,0.0,7.0,8.0,6.0,6.0,2.0,8.0,9.0,4.0,4.0,5.0,85.0,280.0,1422.0,24.92,2.0,3.0,3.0,2.0,8.0,6.0,7.0,9.0,0.0,7.0,7.0,6.0,2.0,8.0,1.0,8.0,7.0,6.0,1.0,6.0,4.0,3.0,9.0,1.0,0.0,4.0,1.0,9.0,3.0,1.0,15.0,419.0,1205.0,6944.5,20.59,6.0,6.0,6.0,8.0,5.0,1.0,0.0,7.0,3.0,2.0,7.0,7.0,4.0,7.0,3.0,3.0,1.0,3.0,1.0,8.0,1.0,8.0,5.0,7.0,3.0,1.0,0.0,4.0,8.0,7.0,6.0,4.0,2.0,4.0,2.0,5.0,8.0,7.0,0.0,4.0,2.0,2.0,9.0,3.0,2.0,6.0,4.0,0.0,8.0,9.0,8.0,394.0,944.0,1756.0,9.83
2018-01-09,24.0,1258.14,5050.0,23705.86,44.44,4.0,7.0,0.0,1.0,9.0,8.0,211.0,650.0,2412.0,18.0,0.0,4.0,2.0,2.0,8.0,1.0,4.0,3.0,4.0,5.0,2.0,1.0,0.0,5.0,9.0,2.0,5.0,6.0,9.0,9.0,4.0,8.0,0.0,4.0,2.0,5.0,7.0,7.0,7.0,5.0,0.0,0.0,2.0,2.0,5.0,9.0,1.0,5.0,9.0,3.0,9.0,7.0,1.0,7.0,7.0,13.0,504.0,1418.0,3267.0,16.02,0.0,9.0,3.0,1.0,4.0,3.0,8.0,1.0,8.0,1.0,2.0,5.0,4.0,1.0,1.0,9.0,3.0,4.0,9.0,3.0,7.0,3.0,0.0,8.0,0.0,1.0,0.0,9.0,3.0,2.0,9.0,8.0,7.0,5.0,5.0,0.0,9.0,7.0,3.0,0.0,2.0,2.0,5.0,0.0,8.0,2.0,9.0,2.0,4.0,1.0,2.0,0.0,9.0,8.0,8.0
2018-01-10,8.0,1731.33,4372.0,27149.0,46.39,1.0,8.0,5.0,8.0,0.0,1.0,1766.0,1726.0,7915.0,8.03,8.0,7.0,1.0,5.0,5.0,10.0,389.0,1883.0,6138.5,21.24,1.0,2.0,3.0,3.0,7.0,10.0,66.0,366.0,1630.0,41.24,0.0,8.0,1.0,8.0,3.0,8.0,4.0,0.0,7.0,9.0,7.0,7.0,0.0,4.0,2.0,5.0,3.0,2.0,6.0,8.0,7.0,9.0,5.0,9.0,8.0,3.0,264.0,708.0,3077.0,15.0,2.0,3.0,3.0,6.0,7.0,9.0,5.0,4.0,5.0,0.0,8.0,3.0,3.0,7.0,5.0,4.0,3.0,8.0,5.0,7.0,8.0,3.0,2.0,0.0,2.0,8.0,2.0,3.0,6.0,1.0,2.0,2.0,2.0,4.0,2.0,5.0,7.0,4.0,7.0,4.0,5.0,5.0,6.0,2.0,9.0,8.0,0.0,7.0,4.0,3.0,8.0,2.0,2.0,8.0,9.0
