dateref,date,horizonte,diferenca_lula_bolsonaro
2021-01-18,2021-01-19,1,
2021-01-18,2021-01-20,2,
2021-01-18,2021-01-21,3,
2021-01-18,2021-01-22,4,
2021-01-18,2021-01-23,5,
2021-01-18,2021-01-24,6,
2021-01-18,2021-01-25,7,
2021-01-18,2021-01-26,8,
2021-01-18,2021-01-27,9,
2021-01-18,2021-01-28,10,
2021-01-18,2021-01-29,11,
2021-01-18,2021-01-30,12,
2021-01-18,2021-01-31,13,
2021-01-18,2021-02-01,14,
2021-01-18,2021-02-02,15,
2021-03-25,2021-03-26,1,
2021-03-25,2021-03-27,2,
2021-03-25,2021-03-28,3,
2021-03-25,2021-03-29,4,
2021-03-25,2021-03-30,5,
2021-03-25,2021-03-31,6,
2021-03-25,2021-04-01,7,
2021-03-25,2021-04-02,8,
2021-03-25,2021-04-03,9,
2021-03-25,2021-04-04,10,
2021-03-25,2021-04-05,11,
2021-03-25,2021-04-06,12,
2021-03-25,2021-04-07,13,
2021-03-25,2021-04-08,14,
2021-03-25,2021-04-09,15,
2021-09-12,2021-09-13,1,
2021-09-12,2021-09-14,2,
2021-09-12,2021-09-15,3,
2021-09-12,2021-09-16,4,
2021-09-12,2021-09-17,5,
2021-09-12,2021-09-18,6,
2021-09-12,2021-09-19,7,
2021-09-12,2021-09-20,8,
2021-09-12,2021-09-21,9,
2021-09-12,2021-09-22,10,
2021-09-12,2021-09-23,11,
2021-09-12,2021-09-24,12,
2021-09-12,2021-09-25,13,
2021-09-12,2021-09-26,14,
2021-09-12,2021-09-27,15,
2022-03-18,2022-03-19,1,
2022-03-18,2022-03-20,2,
2022-03-18,2022-03-21,3,
2022-03-18,2022-03-22,4,
2022-03-18,2022-03-23,5,
2022-03-18,2022-03-24,6,
2022-03-18,2022-03-25,7,
2022-03-18,2022-03-26,8,
2022-03-18,2022-03-27,9,
2022-03-18,2022-03-28,10,
2022-03-18,2022-03-29,11,
2022-03-18,2022-03-30,12,
2022-03-18,2022-03-31,13,
2022-03-18,2022-04-01,14,
2022-03-18,2022-04-02,15,
2022-05-16,2022-05-17,1,
2022-05-16,2022-05-18,2,
2022-05-16,2022-05-19,3,
2022-05-16,2022-05-20,4,
2022-05-16,2022-05-21,5,
2022-05-16,2022-05-22,6,
2022-05-16,2022-05-23,7,
2022-05-16,2022-05-24,8,
2022-05-16,2022-05-25,9,
2022-05-16,2022-05-26,10,
2022-05-16,2022-05-27,11,
2022-05-16,2022-05-28,12,
2022-05-16,2022-05-29,13,
2022-05-16,2022-05-30,14,
2022-05-16,2022-05-31,15,
